"Employment status (a) by labour force region, Queensland, 1999–00 to 2018–19 (b)(c)(d)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Labour force region,Employment status,Financial year,,,,,,,,,,,,,,,,,,,
,,1999–00,2000–01,2001–02,2002–03,2003–04,2004–05,2005–06,2006–07,2007–08,2008–09,2009–10,2010–11,2011–12,2012–13,2013–14,2014–15,2015–16,2016–17,2017–18,2018–19
, ,— persons —,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
Sunshine Coast SA4,Full-time,"65,100","67,200","69,600","72,500","77,100","83,200","85,300","91,400","90,400","88,900","93,600","94,900","92,900","96,300","101,300","105,600","111,800","105,600","109,400","113,300"
,Part-time,"32,600","36,400","37,500","38,800","40,900","46,400","46,100","51,700","54,900","53,100","50,600","56,600","56,900","54,300","64,300","61,000","61,400","59,900","67,500","70,600"
,Total,"97,700","103,600","107,100","111,300","117,900","129,600","131,400","143,100","145,300","142,000","144,200","151,400","149,800","150,600","165,600","166,600","173,200","165,500","177,000","183,900"
,,,,,,,,,,,,,,,,,,,,,
Toowoomba SA4,Full-time,"39,000","38,100","37,800","39,400","45,300","45,700","47,500","49,200","46,700","50,000","48,000","47,000","50,100","48,300","46,200","47,100","50,400","52,100","52,500","49,500"
,Part-time,"15,200","17,200","16,300","17,600","15,500","16,300","17,100","17,800","17,200","16,900","20,400","21,300","21,800","20,700","23,700","19,900","20,400","22,900","23,000","22,500"
,Total,"54,200","55,300","54,200","57,000","60,800","62,000","64,600","67,000","63,800","67,000","68,400","68,200","71,800","69,000","69,900","67,100","70,800","75,100","75,500","72,000"
,,,,,,,,,,,,,,,,,,,,,
Townsville SA4,Full-time,"62,900","61,100","60,000","62,800","69,800","73,000","78,300","79,600","78,600","90,000","86,100","86,700","86,800","85,300","78,700","76,400","68,900","68,300","72,000","71,600"
,Part-time,"21,300","23,300","24,600","25,700","25,700","26,200","26,500","26,700","26,200","26,800","30,400","35,600","28,600","31,700","28,000","33,800","29,800","30,100","35,600","35,000"
,Total,"84,200","84,400","84,600","88,500","95,500","99,200","104,800","106,200","104,800","116,800","116,500","122,300","115,400","117,000","106,700","110,100","98,700","98,400","107,500","106,600"
,,,,,,,,,,,,,,,,,,,,,
Wide Bay SA4,Full-time,"60,600","58,500","61,600","58,000","58,500","67,300","70,300","74,500","77,200","80,100","79,900","76,800","79,100","78,000","74,500","65,500","71,800","72,400","76,400","76,600"
,Part-time,"27,500","26,000","26,300","28,500","26,500","28,000","30,300","26,800","33,100","33,600","34,900","34,400","37,000","39,000","32,900","35,300","39,700","39,400","35,600","35,800"
,Total,"88,100","84,500","87,800","86,400","85,000","95,300","100,600","101,400","110,300","113,800","114,800","111,300","116,100","117,000","107,300","100,800","111,600","111,800","112,000","112,500"
,,,,,,,,,,,,,,,,,,,,,
Queensland,Full-time,"1,188,100","1,199,500","1,207,200","1,247,100","1,297,600","1,380,800","1,426,500","1,512,500","1,550,800","1,598,900","1,582,900","1,606,500","1,636,500","1,636,200","1,635,400","1,631,500","1,643,800","1,630,600","1,686,200","1,724,100"
,Part-time,"435,200","452,600","482,200","510,100","517,300","529,200","558,300","567,500","591,800","607,400","632,400","648,300","647,100","652,300","683,200","692,700","718,600","736,000","778,400","778,000"
,Total,"1,623,300","1,652,100","1,689,300","1,757,300","1,815,000","1,909,900","1,984,800","2,080,100","2,142,600","2,206,300","2,215,300","2,254,800","2,283,600","2,288,500","2,318,600","2,324,200","2,362,500","2,366,600","2,464,500","2,502,100"
,,,,,,,,,,,,,,,,,,,,,
SA4 = Statistical Area Level 4 (ASGS 2016 edition),,,,,,,,,,,,,,,,,,,,,
Note: The labour force statistics are on a sample basis and will include a sampling error. Caution should be used when making inferences from these estimates.,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
(a) Based on persons aged 15 years and over.,,,,,,,,,,,,,,,,,,,,,
(b) Yearly averages of monthly data.,,,,,,,,,,,,,,,,,,,,,
(c) Data have been rounded to the nearest 100 persons.,,,,,,,,,,,,,,,,,,,,,
(d) The Australian Bureau of Statistics introduced new Labour Force Regions based on SA4s in January 2014 and backcast data to October 1998. As such a longer time series is not available.,,,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
"Source: ABS 6291.0.55.001, Labour Force, Australia, Detailed",,,,,,,,,,,,,,,,,,,,,
